soe,date,arrivals,arrivals_male,arrivals_female
Sarawak,2023-08-01,112505,61296,51209
Selangor,2023-08-01,782907,450015,332892
Terengganu,2023-08-01,0,0,0
W.P. Labuan,2023-08-01,2290,1426,864
Johor,2023-09-01,1599539,881702,717837
Kedah,2023-09-01,85836,49393,36443
Kelantan,2023-09-01,35224,19490,15734
Melaka,2023-09-01,4227,1879,2348
Negeri Sembilan,2023-09-01,6045,3875,2170
Pahang,2023-09-01,1103,600,503
Perak,2023-09-01,17552,8141,9411
Perlis,2023-09-01,53629,31041,22588
Pulau Pinang,2023-09-01,87334,42280,45054
Sabah,2023-09-01,9078,4479,4599
Sarawak,2023-09-01,113165,62094,51071
Selangor,2023-09-01,704265,408872,295393
Terengganu,2023-09-01,3,2,1
W.P. Labuan,2023-09-01,1469,998,471
Johor,2023-10-01,1575638,879290,696348
Kedah,2023-10-01,98794,55547,43247
Kelantan,2023-10-01,47679,25452,22227
Melaka,2023-10-01,3539,1571,1968
Negeri Sembilan,2023-10-01,5098,3048,2050
Pahang,2023-10-01,972,585,387
Perak,2023-10-01,18819,8679,10140
Perlis,2023-10-01,60062,33111,26951
Pulau Pinang,2023-10-01,86296,40163,46133
Sabah,2023-10-01,7936,4102,3834
Sarawak,2023-10-01,106667,59316,47351
Selangor,2023-10-01,643447,367295,276152
Terengganu,2023-10-01,4,4,0
W.P. Labuan,2023-10-01,1328,934,394
Johor,2023-11-01,1558439,856873,701566
Kedah,2023-11-01,90711,51274,39437
Kelantan,2023-11-01,40481,21136,19345
Melaka,2023-11-01,3716,1708,2008
Negeri Sembilan,2023-11-01,5535,3388,2147
Pahang,2023-11-01,761,401,360
Perak,2023-11-01,19230,8939,10291
Perlis,2023-11-01,55721,32157,23564
Pulau Pinang,2023-11-01,94156,44464,49692
Sabah,2023-11-01,30563,14346,16217
Sarawak,2023-11-01,113059,62443,50616
Selangor,2023-11-01,649129,374771,274358
Terengganu,2023-11-01,17,14,3
W.P. Labuan,2023-11-01,1651,1108,543
Johor,2023-12-01,1753136,934618,818518
Kedah,2023-12-01,106836,58873,47963
Kelantan,2023-12-01,42337,21688,20649
Melaka,2023-12-01,5419,2320,3099
Negeri Sembilan,2023-12-01,5127,2649,2478
Pahang,2023-12-01,1284,649,635
Perak,2023-12-01,22667,10285,12382
Perlis,2023-12-01,53904,30699,23205
Pulau Pinang,2023-12-01,107555,50553,57002
Sabah,2023-12-01,52232,23676,28556
Sarawak,2023-12-01,230361,120799,109562
Selangor,2023-12-01,792830,435062,357768
Terengganu,2023-12-01,1,1,0
W.P. Labuan,2023-12-01,3817,2308,1509
Johor,2024-01-01,1155378,639527,515851
Kedah,2024-01-01,110507,61870,48637
Kelantan,2024-01-01,53671,28095,25576
Melaka,2024-01-01,3497,1663,1834
Negeri Sembilan,2024-01-01,4844,2802,2042
Pahang,2024-01-01,556,313,243
